ID,Layer,Length,Width,Height,Pit,Phase,Coffin,Gender,Age,Agate_bead,Golden_bead,Glass_bead,IndoPacific_bead,Porcelain_vessel,Ceramic_vessel
1,1,102,60,30,P051,euro,NA,NA,4,NA,NA,NA,NA,NA,NA
2,1,104,75,60,P051,post,1,NA,2,NA,NA,NA,NA,NA,NA
3,1,130,82,60,P050,euro,1,NA,NA,NA,5,NA,NA,NA,NA
4,1,140,73,30,P038,euro,1,3,4,NA,2,NA,NA,NA,NA
5,1,70,50,35,P050,euro,1,NA,2,NA,2,NA,1,NA,NA
6,1,85,55,13,P038,pre,1,NA,NA,NA,NA,1,NA,NA,NA
7,1,130,60,29,P028,euro,1,1,7,NA,2,1,NA,NA,NA
8,1,100,58,15,P038,pre,1,NA,NA,8,NA,NA,6,NA,NA
9,1,130,70,60,P052,post,1,NA,7,NA,2,NA,1526,NA,NA
11,1,90,60,40,P060,euro,1,4,NA,NA,5,NA,18,NA,NA
15,1,95,60,27,P040,euro,1,4,NA,NA,1,NA,NA,NA,NA
16,1,76,45,37,P072,euro,NA,NA,1,NA,3,NA,1,NA,NA
17,1,100,60,30,P028,euro,1,NA,6,2,3,NA,1,NA,NA
18,1,110,70,24,P061,euro,NA,NA,4,NA,2,NA,NA,NA,NA
20,1,123,60,36,P028,euro,1,NA,7,8,1,NA,2936,NA,NA
21,1,105,47,22,P050,pre,1,4,7,1,1,NA,116,1,NA
22,1,114,70,35,P060,euro,1,NA,NA,NA,1,NA,NA,NA,NA
23A,1,105,55,31,P061,euro,1,4,NA,2,1,NA,2,NA,NA
23B,1,120,70,28,P061,euro,1,3,5,2,1,NA,6,NA,NA
25,1,95,45,37,P061,pre,1,3,5,1,NA,NA,3,NA,NA
26,1,100,70,30,P061,euro,1,NA,NA,NA,1,NA,NA,NA,NA
27,1,115,80,20,P047,pre,1,3,8,5,NA,NA,17,NA,NA
28,1,105,45,28,P058,pre,1,4,NA,6,NA,NA,1,NA,NA
29,1,75,75,48,P018,euro,1,NA,NA,2,NA,1,197,NA,NA
30,1,135,70,42,P018,euro,1,1,7,NA,2,NA,NA,NA,NA
31,1,113,73,26,P018,euro,1,NA,NA,NA,2,NA,NA,NA,NA
32,1,140,58,50,P071,pre,3,NA,3,NA,6,NA,NA,NA,NA
33,1,73,45,12,P071,euro,NA,NA,2,10,NA,NA,1,NA,NA
34,1,102,60,45,P018,pre,1,1,NA,NA,4,NA,NA,NA,NA
35,1,110,45,21,P060,euro,1,NA,NA,NA,3,NA,NA,NA,NA
36,1,113,60,29,P071,euro,1,NA,7,3,3,NA,4,NA,NA
40,1,100,55,20,P041,euro,1,NA,NA,NA,NA,NA,60,NA,NA
42,1,125,65,56,P072,euro,1,NA,NA,NA,1,NA,NA,NA,NA
44,1,120,75,44,P060,euro,1,NA,4,5,1,NA,NA,NA,NA
45,1,88,50,40,P041,euro,1,NA,NA,7,NA,NA,290,NA,NA
46,1,90,50,20,P029,euro,1,1,8,NA,NA,NA,NA,NA,NA
47,1,90,50,44,P019,euro,1,3,7,5,NA,NA,19,NA,NA
48,1,125,70,20,P019,pre,1,3,3 or 4,4,2,NA,NA,NA,NA
