Layer,ID,Burial_axis,Degree_axis,Condition,Length,Width,Height,Pit,sampled,start_layer,start_depth,end_depth,start_depth_sure,old_layer,Phase,Coffin,Straw_mat,Gender,Age,Agate_bead,Golden_bead,Glass_bead,IndoPacific_bead,Glass_earring,Big_Metal_ring,Small_Metal_ring,Wide_Metal_ring,Metal_ring,Bell,Knit,fish_shape_knit,Metal_string,Metal_piece,Gold_leaf,Metal_plate,Hair_pin,Niddle,Bone_plate,Comb,Coin,B&W_sauce_plate,B&W_vase,B&W_bowl,Porcelain_bowl,Porcelain_vessel,Porcelain_vase,Blue_glazed_vase,Brown_glazed_vase,Porcelain_piece,Stamped_ceramic,Stoneware,Ceramic_vessel,Ceramic_vase,Iron_artifact,Stone_artifact,Grinding_stone,Stone_hammer,Stone_axe,Wood_artifact,Anping_jar,Kendi_mouth
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,295,2,102,60,30,P051,Y,14,-20,-50,NA,3,euro,NA,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1,290,2,104,75,60,P051,Y,12,14,-46,Y,4,post,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,1,290,1,130,82,60,P050,NA,7,-25,-85,Y,4,euro,1,0,NA,NA,NA,5,NA,NA,NA,2,2,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,1,300,2,140,73,30,P038,NA,2,-30,-60,NA,4,euro,1,0,3,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,1,285,2,70,50,35,P050,NA,7,-30,-65,Y,4,euro,1,0,NA,2,NA,2,NA,1,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,1,310,3,85,55,13,P038,NA,4,-52,-65,NA,4,pre,1,0,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,1,290,2,130,60,29,P028,NA,8,-30,-59,NA,4,euro,1,1,1,7,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,1,295,2,100,58,15,P038,NA,5,-75,-90,NA,4,pre,1,0,NA,NA,8,NA,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,1,300,1,130,70,60,P052,Y,6,4,-56,Y,4,post,1,0,NA,7,NA,2,NA,1526,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
