Layer,ID,Burial_axis,Degree_axis,Condition,Length,Width,Height,Pit,sampled,start_layer,start_depth,end_depth,start_depth_sure,old_layer,Phase,Coffin,Straw_mat,Gender,Age,artefact,count
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Agate_bead,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Golden_bead,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Glass_bead,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,IndoPacific_bead,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Glass_earring,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Big_Metal_ring,2
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Small_Metal_ring,1
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Wide_Metal_ring,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Metal_ring,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Bell,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Knit,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,fish_shape_knit,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Metal_string,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Metal_piece,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Gold_leaf,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Metal_plate,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Hair_pin,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Niddle,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Bone_plate,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Comb,1
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Coin,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,B&W_sauce_plate,1
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,B&W_vase,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,B&W_bowl,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Porcelain_bowl,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Porcelain_vessel,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Porcelain_vase,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Blue_glazed_vase,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Brown_glazed_vase,NA
1,0,1,290,3,115,70,NA,P9,NA,5,-70,NA,NA,NA,pre,1,0,NA,NA,Porcelain_piece,NA
